id_unico,Serie,Temporada,Episodio,Nombre_Completo,Fecha_alaire,Premier,Cod_Pais,Pais,Tipo_#,Tipo,Estado_Film_#,Estado_Film,Genero_1_#,Genero_1,Genero_2,Genero_3,Genero_4,Avg_Runtime,Avg_rating,pag_web
1977518,alex-og-aune-1,1,Brothers in Bleik,alex-og-aune-1x02-brothers-in-bleik,2020-12-01,2020-11-30,NO,Norway,1,regular,2,To Be Determined,5,Comedy,,,,12.0,,https://www.tvmaze.com/episodes/1977518/alex-og-aune-1x02-brothers-in-bleik
1972035,blipp-vs-snolos-,1,Full fart,blipp-vs-snolos-1x03-full-fart,2020-12-01,2020-11-24,NO,Norway,1,regular,0,Ended,19,Sports,,,,14.0,,https://www.tvmaze.com/episodes/1972035/blipp-vs-snolos-1x03-full-fart
1983909,honest,2020,Demon's Souls,honest-game-trailers-2020-12-01-demons-souls,2020-12-01,2014-03-08,nan,nan,1,regular,1,Running,5,Comedy,,,,5.0,,https://www.tvmaze.com/episodes/1983909/honest-game-trailers-2020-12-01-demons-souls
1978095,honest,2020,A Christmas Story,honest-trailers-2020-12-01-a-christmas-story,2020-12-01,2012-02-13,nan,nan,1,regular,1,Running,5,Comedy,,,,6.0,,https://www.tvmaze.com/episodes/1978095/honest-trailers-2020-12-01-a-christmas-story
1975170,the-yo,2020,"December 1, 2020",the-young-turks-2020-12-01-december-1-2020,2020-12-01,2013-12-24,nan,nan,1,regular,1,Running,0,,,,,120.0,,https://www.tvmaze.com/episodes/1975170/the-young-turks-2020-12-01-december-1-2020
1978425,kurzge,2020,What If Earth got Kicked Out of the Solar System? Rogue Earth,kurzgesagt-in-a-nutshell-2020-12-01-what-if-earth-got-kicked-out-of-the-solar-system-rogue-earth,2020-12-01,2013-07-11,nan,nan,1,regular,1,Running,0,,,,,6.0,,https://www.tvmaze.com/episodes/1978425/kurzgesagt-in-a-nutshell-2020-12-01-what-if-earth-got-kicked-out-of-the-solar-system-rogue-earth
2176118,scisho,2020,That's Not A Spider: It's a SNAKE!,scishow-2020-12-01-thats-not-a-spider-its-a-snake,2020-12-01,2012-01-02,nan,nan,1,regular,1,Running,0,,,,,9.0,,https://www.tvmaze.com/episodes/2176118/scishow-2020-12-01-thats-not-a-spider-its-a-snake
1978093,returning-the-favor-,4,The Baltimore Son Creating Change,returning-the-favor-4x14-the-baltimore-son-creating-change,2020-12-01,2017-08-29,nan,nan,1,regular,2,To Be Determined,2,Adventure,,,,28.0,,https://www.tvmaze.com/episodes/1978093/returning-the-favor-4x14-the-baltimore-son-creating-change
2003906,10-glu,2020,Чума Вечеринка. Историк моды,10-glupyh-voprosov-2020-12-01-cuma-vecerinka-istorik-mody,2020-12-01,2018-03-13,nan,nan,1,regular,1,Running,13,Medical,Sports,Legal,,25.0,,https://www.tvmaze.com/episodes/2003906/10-glupyh-voprosov-2020-12-01-cuma-vecerinka-istorik-mody
1977529,good-mythical-morning-18,18,Can This Spray Help Us Read Each Other's Minds? (Experiment),good-mythical-morning-18x56-can-this-spray-help-us-read-each-others-minds-experiment,2020-12-01,2014-09-08,nan,nan,1,regular,1,Running,0,,,,,14.0,,https://www.tvmaze.com/episodes/1977529/good-mythical-morning-18x56-can-this-spray-help-us-read-each-others-minds-experiment
1983444,red-table-talk-,3,Red Table Transformations,red-table-talk-3x22-red-table-transformations,2020-12-01,2018-05-07,nan,nan,1,regular,1,Running,0,,,,,25.0,,https://www.tvmaze.com/episodes/1983444/red-table-talk-3x22-red-table-transformations
1956844,roditeli-,4,Серия 108,roditeli-4x20-seria-108,2020-12-01,2015-06-28,RU,Russian Federation,1,regular,2,To Be Determined,0,,,,,25.0,,https://www.tvmaze.com/episodes/1956844/roditeli-4x20-seria-108
1977811,obsolete-,1,Reshep,obsolete-1x07-reshep,2020-12-01,2019-12-03,nan,nan,1,regular,2,To Be Determined,7,Drama,Science-Fiction,,,13.0,,https://www.tvmaze.com/episodes/1977811/obsolete-1x07-reshep
1977812,obsolete-,1,Area 51,obsolete-1x08-area-51,2020-12-01,2019-12-03,nan,nan,1,regular,2,To Be Determined,7,Drama,Science-Fiction,,,13.0,,https://www.tvmaze.com/episodes/1977812/obsolete-1x08-area-51
1978869,obsolete-,1,Carhuincho,obsolete-1x09-carhuincho,2020-12-01,2019-12-03,nan,nan,1,regular,2,To Be Determined,7,Drama,Science-Fiction,,,13.0,,https://www.tvmaze.com/episodes/1978869/obsolete-1x09-carhuincho
1978870,obsolete-,1,Santa Muerte,obsolete-1x10-santa-muerte,2020-12-01,2019-12-03,nan,nan,1,regular,2,To Be Determined,7,Drama,Science-Fiction,,,13.0,,https://www.tvmaze.com/episodes/1978870/obsolete-1x10-santa-muerte
1978871,obsolete-,1,Freyja,obsolete-1x11-freyja,2020-12-01,2019-12-03,nan,nan,1,regular,2,To Be Determined,7,Drama,Science-Fiction,,,13.0,,https://www.tvmaze.com/episodes/1978871/obsolete-1x11-freyja
1978872,obsolete-,1,Konoka Kokonoha,obsolete-1x12-konoka-kokonoha,2020-12-01,2019-12-03,nan,nan,1,regular,2,To Be Determined,7,Drama,Science-Fiction,,,13.0,,https://www.tvmaze.com/episodes/1978872/obsolete-1x12-konoka-kokonoha
1977806,comment-out-,1,Роман Каграманов х Стас Просто Класс,comment-out-1x27-roman-kagramanov-h-stas-prosto-klass,2020-12-01,2018-11-29,nan,nan,1,regular,0,Ended,5,Comedy,,,,47.0,,https://www.tvmaze.com/episodes/1977806/comment-out-1x27-roman-kagramanov-h-stas-prosto-klass
1978094,la-vida-moderna-,7,Demasiado calentamiento,la-vida-moderna-7x50-demasiado-calentamiento,2020-12-01,2015-03-24,nan,nan,1,regular,1,Running,5,Comedy,,,,38.0,,https://www.tvmaze.com/episodes/1978094/la-vida-moderna-7x50-demasiado-calentamiento
1978228,inside-of-you-with-michael-rosenbaum-,1,Timothy Omundson (feat. Selma Blair),inside-of-you-with-michael-rosenbaum-1x141-timothy-omundson-feat-selma-blair,2020-12-01,2018-05-18,nan,nan,1,regular,1,Running,0,,,,,86.0,,https://www.tvmaze.com/episodes/1978228/inside-of-you-with-michael-rosenbaum-1x141-timothy-omundson-feat-selma-blair
1960496,all-el,2020,AEW Dark 63,all-elite-wrestling-dark-2020-12-01-aew-dark-63,2020-12-01,2019-10-08,nan,nan,1,regular,1,Running,0,,,,,,,https://www.tvmaze.com/episodes/1960496/all-elite-wrestling-dark-2020-12-01-aew-dark-63
1972603,marvels-storyboards-,2,Nelson Figueroa & His Baseball Origin Story,marvels-storyboards-2x04-nelson-figueroa-his-baseball-origin-story,2020-12-01,2020-07-23,nan,nan,1,regular,0,Ended,0,,,,,14.0,,https://www.tvmaze.com/episodes/1972603/marvels-storyboards-2x04-nelson-figueroa-his-baseball-origin-story
1975078,uwn-pr,2020,Episode 12,uwn-primetime-2020-12-01-episode-12,2020-12-01,2020-09-15,nan,nan,1,regular,1,Running,0,,,,,120.0,,https://www.tvmaze.com/episodes/1975078/uwn-primetime-2020-12-01-episode-12
1969883,lyckoviken-,1,Avsnitt 8,lyckoviken-1x08-avsnitt-8,2020-12-01,2020-10-20,nan,nan,1,regular,1,Running,7,Drama,Crime,,,42.0,,https://www.tvmaze.com/episodes/1969883/lyckoviken-1x08-avsnitt-8
1990735,ela-ana-,8,Episode 9,ela-ana-8x09-episode-9,2020-12-01,2020-03-14,EG,Egypt,1,regular,1,Running,7,Drama,Romance,,,39.0,,https://www.tvmaze.com/episodes/1990735/ela-ana-8x09-episode-9
1968546,something-just-like-this-,1,Episode 43,something-just-like-this-1x43-episode-43,2020-12-01,2020-11-08,nan,nan,1,regular,0,Ended,17,Romance,,,,45.0,,https://www.tvmaze.com/episodes/1968546/something-just-like-this-1x43-episode-43
